itemId,featureId
2135,1
2303,1
6292,1
12395,1
24520,1
25297,1
32548,1
34303,1
36141,1
11812,2
30449,2
2978,3
3146,3
6748,3
12977,3
23778,3
3236,4
16261,4
16649,4
22579,4
25172,4
25307,4
25500,4
26387,4
26982,4
27278,4
27309,4
31982,4
34140,4
34646,4
35510,4
18402,5
33907,5
5684,6
7232,6
8932,6
7115,7
16879,7
22986,7
2663,8
3963,8
14054,8
28324,8
34658,8
14504,9
15311,9
1523,10
2526,10
15146,10
21788,10
31748,10
1852,11
23440,11
30146,11
6905,12
10115,12
160,13
5258,13
5828,13
7572,13
8189,13
9048,13
14094,13
21610,13
21939,13
22009,13
22638,13
28591,13
29088,13
30758,13
33085,13
33774,13
35854,13
35892,13
11360,14
35313,14
9038,15
33464,15
13731,16
19249,16
5954,17
33370,17
1634,18
1932,18
6031,18
9981,18
15985,18
16811,18
17691,18
18914,18
22987,18
27774,18
29785,18
34352,18
668,19
20079,19
21220,19
33225,19
35551,19
3483,20
4008,20
1493,21
34020,21
14026,22
18060,22
19131,22
23936,22
29293,22
8263,23
10032,23
28269,23
29399,23
26611,24
31859,24
7880,25
26081,25
1249,26
7871,26
24482,26
32630,26
7613,27
36965,27
7200,28
11801,28
31926,28
3651,29
7417,29
8879,29
9306,29
15788,29
16644,29
16863,29
17480,29
18619,29
21486,29
25605,29
25765,29
28667,29
29149,29
31649,29
7640,30
16170,30
18637,30
20427,30
93,31
4184,31
19675,31
27804,31
2780,32
24658,32
454,33
7629,33
20703,33
26709,33
29671,33
33914,33
34668,33
7146,34
14290,34
33156,34
4134,35
4429,35
148,36
11344,36
24328,36
28141,36
1977,37
9717,37
18472,37
29552,37
1929,38
17620,38
20286,38
34409,39
35230,39
36642,39
2630,40
23086,40
26475,40
4514,41
8596,41
34809,41
36432,41
3836,42
4010,42
7382,42
20012,42
23042,42
25894,42
30483,42
32875,42
35858,42
3367,43
6825,43
515,44
18799,44
24252,44
4040,45
10391,45
14675,45
30515,45
32172,45
35915,45
36676,45
779,46
781,46
2424,46
5692,46
7036,46
8441,46
14480,46
15526,46
15660,46
15849,46
16207,46
17732,46
23775,46
26397,46
27044,46
28381,46
29650,46
34451,46
35329,46
36061,46
843,47
1141,47
2050,47
6561,47
10454,47
11618,47
11774,47
13214,47
14464,47
14525,47
14636,47
16585,47
16735,47
17597,47
17611,47
22304,47
23580,47
27486,47
29805,47
30232,47
30385,47
30453,47
30925,47
30964,47
30989,47
32619,47
33014,47
34090,47
36663,47
37055,47
5690,48
8296,48
17101,48
18329,48
20012,48
21608,48
23823,48
5089,49
22112,49
22659,49
10052,50
19521,50
549,51
14709,51
26251,51
26472,51
26502,51
35142,51
9841,52
30689,52
4844,53
10121,53
10423,53
18540,53
18761,53
22634,53
35034,53
36348,53
13639,54
33338,54
16057,55
25486,55
4415,56
6434,56
14106,56
16137,56
24146,56
25715,56
10841,57
31888,57
34763,57
4600,58
29211,58
2235,59
19495,59
28343,59
30289,59
4545,60
5053,60
4589,61
15351,61
16645,62
24830,62
48,63
6769,63
12881,63
27464,63
28928,63
29888,63
32150,63
33022,63
35850,63
826,64
4275,64
9269,64
26890,64
29523,64
7609,65
7852,65
16747,65
26622,65
541,66
864,66
2159,66
2860,66
2952,66
4407,66
4863,66
5690,66
7024,66
7527,66
7958,66
7994,66
8206,66
8331,66
8905,66
9947,66
10347,66
12486,66
14089,66
14590,66
15216,66
16256,66
16914,66
17144,66
17895,66
17987,66
18125,66
18843,66
19134,66
19286,66
20573,66
20636,66
20925,66
21855,66
21988,66
23567,66
23831,66
26321,66
27261,66
27466,66
28219,66
28251,66
29855,66
30475,66
30562,66
30797,66
30929,66
31567,66
31785,66
33146,66
33356,66
35291,66
5459,67
7398,67
9629,67
16197,67
23898,67
936,68
29213,68
14487,69
31624,69
172,70
224,70
554,70
980,70
7394,70
11501,70
12055,70
16869,70
22053,70
23367,70
25974,70
26330,70
26966,70
27514,70
32128,70
33376,70
34107,70
34377,70
614,71
2043,71
13713,71
15173,71
22322,71
4908,72
19828,72
26712,72
32639,72
7277,73
35685,73
2323,74
3750,74
4873,74
13184,74
15433,74
16473,74
17020,74
20739,74
21019,74
24585,74
26393,74
29984,74
33641,74
35757,74
36943,74
18895,75
36538,75
10090,76
28277,76
30732,76
19206,77
30020,77
1698,78
14694,78
23812,78
30723,78
36373,78
8150,79
36182,79
11881,80
29609,80
10020,81
12722,81
29648,81
11519,82
21403,82
24672,83
31966,83
7239,84
14178,84
17158,84
21397,84
22771,84
24125,84
14306,85
15077,85
31168,85
2013,86
22459,86
8489,87
10483,87
14848,87
18560,87
26440,87
30031,87
4854,88
22394,88
5015,89
10333,89
13881,89
16363,89
24411,89
30266,89
3378,90
4331,90
19300,91
28142,91
4250,92
5779,92
10119,92
11741,92
12103,92
12411,92
14681,92
18923,92
18975,92
23313,92
24640,92
27931,92
28818,92
35026,92
37078,92
8502,93
10696,93
15356,93
17240,93
20748,93
32784,93
149,94
5757,94
7401,94
12605,94
23988,94
25413,94
35011,94
4121,95
9184,95
14429,95
4620,96
22564,96
7901,97
13859,97
19637,97
24942,97
32937,97
6493,98
7359,98
14375,98
3650,99
9597,99
12800,99
13700,99
21061,99
6001,100
29457,100
2678,101
5038,101
5163,101
11830,101
13791,101
14673,101
17815,101
19434,101
26956,101
28824,101
29061,101
29121,101
31742,101
36190,101
4558,102
15367,102
17487,102
21319,102
28098,102
374,103
8836,103
9675,103
10569,103
12422,103
17906,103
25018,103
25798,103
29152,103
30764,103
32263,103
33561,103
34389,103
36019,103
4380,104
29104,104
14415,105
17932,105
26430,105
26625,105
36154,105
36947,105
2885,106
3375,106
13548,106
7604,107
15463,107
22081,107
22278,107
32495,107
36954,107
2150,108
7841,108
17612,108
19168,108
22401,108
33403,108
35212,108
6617,109
10712,109
11857,109
12044,109
14777,109
19226,109
20399,109
21333,109
24018,109
26480,109
27481,109
27631,109
4750,110
31781,110
3798,111
15338,111
34471,111
7655,112
28655,112
31585,112
35785,112
10427,113
19053,113
30180,113
5807,114
8123,114
11237,114
14669,114
18966,114
23302,114
35305,114
21698,115
30013,115
31154,115
33459,115
17902,116
23743,116
29976,116
8617,117
22264,117
10182,118
36466,118
3264,119
3555,119
7358,119
18994,119
22545,119
23071,119
23923,119
24634,119
25581,119
27749,119
28282,119
28430,119
31105,119
32173,119
34295,119
34969,119
35969,119
22342,120
26073,120
519,121
762,121
7059,121
9745,121
