userId,testItems
4,34891 8015 26657 9420 33500
5,35738 32224 19748 15743 3674
8,4327 28053 27847 14599 7948
9,782 21808 25278 20574 18389
13,33475 19907 12362 11964 32100
18,2247 28964 4475 13530 19452
19,33475 29736 6461 30370 28012
23,4 7984 3899 909 36872
26,36218 33925 3431 22976 18803
29,27660 20955 8035 2049 34718
31,26884 32489 27535 25987 19476
32,33475 19022 18200 12113 88
33,34223 28514 2143 36960 36607
35,32780 9577 9074 32691 32347
37,27241 25656 22341 27612 27519
51,25920 15746 15488 36109 21495
52,4554 30360 14366 12656 1617
53,20635 16501 34930 33603 23282
54,33173 31992 23145 17934 14077
61,20915 34223 7584 5364 24716
64,17645 786 23507 23049 9607
69,4373 35231 30091 27251 25499
76,31268 28701 20620 18200 5227
78,7342 1447 35390 31203 22029
79,33562 32916 26736 9354 36723
85,3496 35628 30717 19271 8278
89,17676 30653 26197 13726 20985
92,15950 14852 8541 2523 37091
93,35300 32916 25185 14738 14533
95,10546 21913 21606 9420 5352
100,27387 17386 7984 2079 31287
104,27477 9415 30616 19127 17380
105,33562 6476 4228 36157 30261
109,27713 22385 5292 4814 33603
110,35381 32806 20132 18506 10685
111,30622 19500 10446 2522 1076
112,31136 36109 35738 35300 34379
122,7287 19529 1564 33475 32777
126,4327 2578 133 36599 32992
131,36977 34903 33475 32092 31343
132,34223 28514 2143 30173 30058
136,269 29389 29112 3661 26224
140,22904 36023 34223 29344 25925
144,35762 33550 22338 21386 19578
145,37108 36998 36559 36194 35318
146,32347 22976 6699 6631 1076
151,26364 11891 30653 26468 25312
152,30584 31759 28099 26538 6301
155,36004 25013 10178 33451 30017
156,35300 32916 25185 14738 14533
160,12584 27584 22950 18139 12160
162,35247 27569 26713 7579 36179
164,23240 33173 30173 26197 18200
165,26468 21765 34602 28083 28046
166,36370 26401 19419 19072 18506
169,8545 35001 34351 19332 35738
173,33609 12734 36163 23326 23292
179,34223 29355 34365 11579 8134
184,15743 33475 33788 22720 19907
185,33571 28171 6090 1762 33282
186,36957 27398 2227 34517 33961
187,13701 1304 30787 28750 25257
189,13502 15737 13909 11512 11329
190,34595 31293 30428 29159 28308
191,23240 32347 11366 35247 34867
197,6773 34930 34517 23188 18383
205,34223 6155 1456 36492 34799
208,19529 35819 29781 24978 24626
209,24786 8129 6773 28103 26468
217,36872 33441 21746 35071 23551
218,36218 33925 22976 18803 15631
222,14572 5039 35065 18468 16654
223,19642 9404 33726 27650 18720
234,31254 29260 17782 36982 24294
240,26491 35390 30821 28701 27660
246,21099 10165 31992 30758 26285
247,29403 28063 19981 15293 8325
250,32743 8821 33603 27322 16876
257,25228 27569 9577 341 35300
258,24109 10165 31992 14201 35141
268,29989 29574 34903 34365 33475
269,8394 30414 26197 22272 19529
270,35367 31231 28030 15846 12001
274,12734 31825 12972 6699 36111
278,17648 1397 26846 15452 14020
281,18016 2712 1076 17411 7824
288,34867 33990 27562 24512 23843
294,30131 29736 28194 26669 18116
296,34771 33282 27660 22824 6871
299,7260 35300 32291 30453 23516
301,8519 35662 3661 35020 33298
308,25920 36795 30898 26951 23188
310,27419 17445 13574 11486 33649
312,36960 8717 4039 26285 10082
314,19565 6862 35390 35307 34752
318,30278 15853 14076 7923 3456
321,28932 11083 23014 19659 14690
326,6764 36128 32347 25007 23423
327,23676 35158 29005 6627 21707
333,31274 23506 18546 12669 27943
336,27009 27847 7086 6773 12564
337,26468 23145 19593 17553 30516
339,10059 28289 11176 28199 21986
344,14174 26681 27132 17648 17207
350,33398 29507 18170 36691 35939
353,27780 162 19127 17272 12354
355,30766 34177 30699 32642 20635
