userId,itemId,rating
2738,1,1
4716,1,4
13298,1,8
15122,1,4
11326,2,5
3406,3,4
3906,3,10
6345,3,6
7393,3,8
815,4,8
1544,4,6
1871,4,4
2418,4,8
2936,4,10
4846,4,8
5390,4,8
5577,4,8
5899,4,9
6469,4,8
6827,4,6
7251,4,10
7673,4,9
8071,4,10
8456,4,7
8564,4,10
9012,4,10
9274,4,9
9899,4,10
10046,4,9
10197,4,10
10199,4,2
10294,4,8
10374,4,6
10552,4,10
10810,4,10
10836,4,9
10954,4,7
11607,4,9
11743,4,10
12099,4,7
12395,4,10
13195,4,10
13446,4,1
14981,4,10
15280,4,8
99,5,7
1246,5,2
3128,5,1
7550,5,7
8867,5,6
9849,5,2
11073,5,7
12015,5,1
12048,5,7
13126,5,5
13140,5,8
13179,5,7
4911,6,9
6345,6,6
7393,6,8
11868,6,6
12015,6,7
12323,6,8
13787,6,8
4248,8,6
12838,9,10
3136,10,5
5351,10,6
8218,10,4
8295,10,4
9859,10,2
10674,10,5
13868,10,6
2185,11,6
1133,12,7
1649,12,3
1734,12,7
1747,12,6
2541,12,8
2785,12,6
2854,12,8
3198,12,7
3266,12,4
3358,12,3
3667,12,6
3743,12,7
3772,12,7
3951,12,6
4026,12,3
4394,12,1
5249,12,4
5327,12,6
5363,12,8
6101,12,7
6247,12,6
6586,12,7
7020,12,5
7628,12,7
7817,12,7
7855,12,10
8035,12,5
8145,12,7
8187,12,7
8340,12,7
9151,12,8
9403,12,2
10278,12,2
10810,12,5
11229,12,4
11467,12,9
11641,12,6
11883,12,6
11961,12,6
12108,12,1
12151,12,8
12180,12,9
12752,12,7
12815,12,9
12964,12,4
13018,12,6
13780,12,1
13928,12,8
14404,12,10
14627,12,10
15074,12,7
15122,12,6
1174,13,7
1236,13,6
3507,13,9
11868,14,6
3418,15,5
4672,15,2
9052,15,5
9520,15,3
4716,16,6
2499,18,4
4100,18,7
6866,18,9
7628,18,6
9710,18,3
14472,18,10
14572,18,5
13504,22,7
1341,24,7
12567,24,1
12658,25,9
3152,26,2
10810,27,7
2465,29,10
8539,29,7
10810,29,10
14685,29,7
152,30,5
3903,30,7
9786,30,8
15116,31,7
7393,32,8
7355,33,8
1422,34,9
2264,35,7
4668,35,4
9367,35,7
12822,36,4
14997,37,7
14154,38,7
846,39,7
955,39,10
2732,39,10
7965,39,8
9297,39,10
12132,39,7
12745,39,8
1875,41,7
4591,42,8
9566,42,10
2345,43,5
4469,43,7
915,45,9
5337,45,9
5676,45,7
6313,45,9
10098,45,10
10128,45,8
12369,45,6
4386,46,7
2870,47,6
1263,48,4
4413,48,2
4724,48,3
7571,48,1
7886,48,8
7918,48,9
9644,48,8
13045,48,6
298,49,4
330,49,2
497,49,3
842,49,4
1517,49,8
1793,49,1
3003,49,6
3856,49,1
3873,49,8
4026,49,4
5001,49,9
5417,49,4
5448,49,1
6072,49,3
6243,49,1
6246,49,8
6418,49,1
6762,49,10
7301,49,7
7336,49,3
8582,49,5
9078,49,3
9186,49,7
9366,49,2
9453,49,4
9624,49,1
10118,49,4
12194,49,2
12741,49,1
12919,49,5
13062,49,1
13176,49,7
13386,49,3
13970,49,8
14067,49,8
14814,49,1
15174,49,1
15326,49,3
3118,50,5
8854,50,1
5116,51,3
127,52,10
760,52,7
1003,52,10
1236,52,9
1421,52,6
1813,52,9
2603,52,9
3218,52,9
3409,52,10
3533,52,9
3635,52,7
3706,52,7
4386,52,8
5022,52,6
6490,52,7
6695,52,9
6838,52,10
7012,52,7
7287,52,9
7600,52,5
8456,52,8
8647,52,9
9623,52,8
9860,52,9
10016,52,9
10376,52,9
10469,52,8
11035,52,9
11920,52,9
12006,52,7
12323,52,8
13036,52,7
14014,52,8
14681,52,7
15069,52,9
15351,52,9
3512,53,9
6651,53,8
573,54,7
837,54,8
863,54,8
1165,54,6
1840,54,3
1881,54,10
2851,54,7
3578,54,10
3846,54,10
3941,54,9
4803,54,10
5459,54,1
5499,54,10
5540,54,6
5977,54,1
6008,54,10
6866,54,8
7380,54,7
7392,54,8
7531,54,3
7568,54,4
8078,54,5
8096,54,8
8544,54,7
8625,54,8
8936,54,8
8977,54,6
9129,54,9
9148,54,8
9966,54,9
10109,54,9
10128,54,6
10654,54,8
10810,54,4
11890,54,8
12737,54,9
13236,54,10
13404,54,6
13938,54,7
14492,54,8
14856,54,8
14858,54,1
4576,55,1
5152,56,8
7287,57,8
13970,57,7
14632,57,9
766,58,10
827,58,7
1307,58,8
1882,58,7
2789,58,9
2823,58,10
2959,58,7
3563,58,8
4042,58,9
5171,58,9
5414,58,7
5900,58,10
6818,58,7
8754,58,9
9037,58,7
11470,58,9
11613,58,9
11653,58,7
14632,58,4
15173,58,9
11446,59,7
13410,59,2
15324,59,6
3819,61,9
4576,61,7
5426,61,5
6651,61,8
8203,61,5
8213,61,5
8683,61,6
10310,61,8
11267,61,7
12640,61,8
13868,61,5
14341,61,8
14342,61,7
3748,62,7
2870,63,4
6072,64,5
8136,64,7
15261,64,6
4244,65,4
1836,66,9
5116,66,4
8119,66,2
11359,66,8
13656,66,7
12911,67,9
14371,67,10
6367,68,6
7020,68,5
10810,68,3
14287,68,10
995,70,8
3153,70,5
4970,70,4
10068,70,5
10584,70,6
10807,70,8
10810,70,6
13484,70,8
13543,70,5
14014,70,6
14032,70,10
14251,70,6
15362,70,10
5767,71,3
4934,72,4
6877,73,5
6072,74,4
14798,74,5
883,75,9
2281,75,8
3202,75,9
4027,75,4
5711,75,8
5987,75,7
9018,75,7
9572,75,9
9710,75,7
10067,75,9
10086,75,7
10109,75,9
10128,75,5
10198,75,10
10636,75,7
11171,75,3
11241,75,7
12037,75,9
12822,75,7
12961,75,8
13458,75,9
13477,75,9
13611,75,7
14246,75,10
