userId,testItems
4,9893 3406 16141 20790 32400
5,24399 27232 35464 34623 26097
8,19430 8145 24217 37020 31845
9,30445 11958 30009 27793 17209
13,14387 15469 4081 16901 15016
18,18741 7617 14312 24391 14647
19,3465 20374 8399 19537 24773
23,1306 16451 6258 22029 11592
26,16388 3406 13691 66 20271
29,1495 24398 32167 2037 21613
31,16928 33780 6258 10454 31446
32,17924 24385 18165 14085 11922
33,26098 6539 28738 28346 10620
35,18096 13656 17205 19669 15202
37,4522 2189 33165 389 26123
51,33195 20941 15973 2751 14820
52,512 12869 33314 17335 5487
53,17068 24784 4362 10854 5696
54,18452 15311 5499 10452 33040
61,13782 7926 18622 23833 31572
64,31556 17625 20885 31517 18111
69,18190 34119 17456 32784 29559
76,14591 36163 6199 13482 262
78,23435 12866 31695 23433 5349
79,16790 17618 22549 14555 9534
85,22002 10454 14820 25740 2462
89,24158 24517 32407 26002 16016
92,19907 3164 36061 31314 17069
93,30764 14458 28244 23313 19578
95,36204 17833 13977 1755 17082
100,14579 21747 35495 24410 21151
104,29177 2185 805 6309 25556
105,35510 23433 28582 26951 22211
109,27352 11043 3800 35777 8909
110,4081 16901 14387 33766 15016
111,29026 24716 30270 12866 19534
112,33998 19912 16942 28213 23188
122,13385 5963 11921 7519 4834
126,31925 36337 36979 33963 25967
131,687 20790 17752 29656 25196
132,2912 13510 2957 4197 32162
136,7402 5697 16518 5485 35495
140,36234 1 15246 18303 26550
144,13388 4369 34813 18448 3917
145,29857 9350 22361 25609 22009
146,29041 3398 12516 9354 29383
151,13909 33707 25513 23506 35775
152,27793 35328 35315 21045 34686
155,4012 25526 4283 6179 28860
156,14820 26956 18427 5485 20348
160,18453 23056 2861 14239 36714
162,26370 32430 5946 1173 7616
164,1141 2050 13214 26708 28876
165,20323 29881 26979 20622 11201
166,22002 36317 36924 35775 30603
169,35801 35608 4 7649 16271
173,19345 20945 20283 17781 1709
179,20959 36248 102 33199 37065
184,17351 3840 23012 10262 30130
185,36557 13406 11903 11879 6320
186,22003 28202 15760 8784 26268
187,35315 35328 34090 5138 35675
189,17074 4925 32019 30709 27152
190,36165 34266 37030 7290 12384
191,14108 33858 21395 13754 6561
197,31604 6363 27088 7289 33788
205,7889 26491 8541 33870 1162
208,33780 31556 36291 18174 30087
209,36163 36468 14583 16129 18576
217,4081 35101 20340 30230 31915
218,3164 32407 12870 20208 26713
222,33598 30622 20888 23850 4939
223,13440 36223 6772 24391 31572
234,33424 35903 4122 11648 4382
240,17833 6321 6800 28202 13847
246,23816 12952 15788 15792 20907
247,551 26550 32287 11237 6314
250,30009 27793 29534 35930 22466
257,23912 28213 25572 17033 36872
258,14993 13141 16270 30119 573
268,15847 32400 30837 22482 29659
269,11520 11282 31226 15879 9743
270,3216 28642 14629 14513 37034
274,19199 20389 8468 35999 23253
278,36583 18991 30375 34609 20716
281,16585 26411 21412 12102 36659
288,18106 27916 18453 32777 15542
294,19241 5 23904 34136 14556
296,35510 29461 32836 26623 8809
299,20495 33811 36907 19544 17611
301,28162 36952 7763 29306 34746
308,33055 15678 33885 6459 23332
310,8148 11673 3314 6543 27941
312,36543 21470 23195 17692 3219
314,30453 24422 15758 64 12023
318,24399 21130 21268 1765 6321
321,7402 4374 7617 9735 36890
326,22093 12077 36297 612 26486
327,22482 14098 34118 33037 21996
333,35688 27430 20996 27431 11108
336,36061 32287 28213 18165 12641
337,34156 25536 14111 4883 16302
339,27604 1397 23775 34509 102
344,33861 4406 5697 4136 8028
350,36463 11959 14101 11965 560
353,27916 8261 5 15542 34136
355,26550 18297 32287 11237 15652
359,31791 31770 30876 30448 21024
361,35809 23498 27016 2747 28909
364,4886 3826 35630 25730 4406
365,18240 30453 4991 31830 18756
374,28946 17055 28775 5884 26428
375,12389 12390 32524 18146 26553
376,33597 36102 2446 13752 24704
378,29656 5696 11661 28477 30603
379,31073 34411 28213 31680 27098
380,4893 17037 26651 30176 35317
383,29742 36708 29521 16091 10452
385,29043 16262 22482 22007 34531
388,560 3356 11649 2988 11246
390,24772 30600 30603 22473 21381
393,22778 30320 3069 34473 36110
399,2751 5227 24391 14820 5485
401,26147 28761 11868 16148 3456
405,10804 20518 3223 22290 33379
412,36194 18451 27793 4257 7872
413,19345 24488 22389 14464 34090
415,23194 21271 15242 4200 394
418,10327 10695 30137 4261 18404
